Downtime_Minutes,Users_Affected,Transactions,Financial_Loss_INR,Data_Risk_Transactions_Lost
28.96,16195,2492,52640,1761
4.65,6204,618,15999,300
22.17,34010,3923,92853,2004
0.22,20793,2990,56541,2593
11.42,29503,3152,76695,2102
33.92,12826,2180,46430,1676
19.85,6998,1367,25253,1005
114.87,18072,3432,114862,2287
62.17,45045,5937,144284,1951
13.35,45784,4725,117630,3296
1.4,42530,4893,109607,2480
56.05,44974,4475,133305,2601
72.65,12782,1486,63957,1204
51.55,4442,230,28539,202
4.11,48108,2803,110647,2008
185.19,3462,573,135798,251
8.98,14683,1471,38065,721
38.64,34504,5836,110198,2234
71.59,47802,5831,155045,3780
8.06,11204,1914,33122,1642
71.66,26148,3910,102179,3075
11.11,47976,3845,117028,2407
112.41,17728,2076,105428,1795
9.91,12029,1872,34977,1568
92.01,26774,2666,111005,1377
1.65,43657,3448,104660,2171
37.06,13368,1750,46766,835
22.79,21790,1983,58933,605
19.5,30320,4219,86039,2407
7.59,10804,980,27553,735
36.68,4614,858,24627,583
6.35,47290,4803,119395,4111
24.15,24934,4640,79000,3301
8.76,48408,4449,120357,1711
93.45,18842,2650,96102,1219
0.87,30992,2154,72794,808
6.68,28087,4683,80453,3637
8.32,38483,3079,93561,2680
16.04,14940,2683,46505,1169
7.95,35244,4154,92378,3154
20.28,24871,1596,62288,897
61.78,28833,3013,97011,1546
37.35,19580,3269,66918,2916
26.02,20119,1236,53055,627
2.8,17045,2452,46583,1708
35.52,11741,1480,41468,1076
5.46,15332,1479,38697,1129
46.3,44426,7256,140886,5929
8.63,11415,660,27398,422
16.19,43951,5478,118549,3629
12.95,24715,3114,67328,2262
58.73,23355,1470,76564,572
4.06,30809,2169,72871,911
25.02,35372,3942,96710,2990
4.6,22455,2929,60047,1115
36.6,25463,1476,69378,1052
70.64,10168,526,52652,168
17.11,42552,3356,105421,1686
20.09,42189,5196,114859,3623
78.69,43323,2427,133685,1757
22.08,45932,7348,133792,4982
20.06,6922,503,20851,284
25.91,20993,3482,65988,1576
35.06,12597,1016,40654,678
3.39,31901,3253,80379,1336
51.63,14351,1748,55990,587
17.15,22670,2314,60462,721
2.25,43245,2315,98234,1066
46.28,20044,3733,74494,1187
14.19,5779,537,16916,241
3.17,39480,2779,93137,1316
30.14,21305,1488,58321,754
63.64,16372,3212,74188,2338
65.61,1512,103,30112,58
94.86,2349,239,52090,212
60.68,2339,140,29013,121
0.06,40741,6531,114137,5805
14.35,12714,1773,37011,970
51.2,23377,3039,80267,992
13.68,8935,1593,28365,1300
27.61,29128,3961,85312,2221
27.97,14903,2881,51605,1972
13.63,12895,1849,37549,1490
70.45,47309,4879,148579,3241
20.99,15753,874,40683,648
18.75,38053,6042,110376,2714
179.91,20774,2203,173219,918
20.41,46367,6485,129768,4106
5.89,20626,3742,60677,2554
21.59,42445,2171,100760,1786
50.46,40020,6560,130763,5201
45.0,32714,3771,99375,3369
46.62,19068,1308,60590,1150
36.93,18085,2484,59812,1674
8.8,46666,6061,124942,3649
59.43,17291,3049,72736,2306
67.17,43719,5606,142994,2560
6.48,41174,7168,119011,3665
4.19,45786,6028,122141,4582
111.4,32008,3746,141536,3258
60.82,45352,4792,138381,4011
67.11,29172,2218,96924,762
65.25,12193,1677,59122,736
23.41,8265,1087,27626,504
31.19,47952,9415,151687,4989
23.65,43788,4898,117815,1677
1.58,47195,5343,121204,2343
41.05,20655,1540,62162,1123
21.12,26125,3647,75336,1629
31.3,12674,2245,45328,1943
20.95,34436,3002,88677,1662
20.31,25998,1335,63246,480
5.65,25536,3925,71369,3161
9.8,49993,2734,115190,2321
5.19,42790,4766,110001,4083
6.53,22921,3252,62936,1939
108.33,5004,539,69080,459
4.99,35801,3189,88103,2313
9.41,28194,4789,81776,1998
26.79,4609,438,18341,271
28.26,4626,356,18544,199
5.02,38777,4197,99100,2394
47.36,36035,2513,100928,1377
46.14,10210,1567,43926,634
8.13,34208,5353,96339,2858
10.22,1614,84,5281,51
83.41,17895,2759,87675,1300
52.4,27712,2628,87532,1067
35.9,40592,6025,122063,2524
2.57,4267,665,12065,276
16.25,17506,1604,46307,911
24.58,29303,2280,76099,970
6.23,43346,7540,125168,5507
17.84,29348,4721,86068,2366
27.57,44831,7871,136253,6797
11.9,9404,1084,26279,365
45.55,4908,581,28093,282
55.06,28555,2901,92043,2155
11.73,8933,1115,25449,792
54.73,31997,4703,107751,2597
3.28,39601,6818,113589,5605
54.55,10529,815,45280,279
4.97,5007,554,13338,335
2.6,11778,1403,30780,589
30.8,3325,409,17240,214
19.16,1114,146,7150,105
71.54,6868,1169,49837,420
13.54,38326,7011,114197,2287
10.15,2121,156,6639,86
20.84,43996,6903,127263,3195
18.26,35974,4384,97769,3210
12.67,41843,4713,109505,1599
35.5,8962,600,31499,527
42.76,43829,2613,114703,1757
57.52,43633,8581,151981,5155
108.2,2684,392,63601,214
9.3,5042,594,14473,445
37.77,34145,5608,107937,2881
15.04,35911,2286,86168,1751
33.91,7470,1054,30083,765
19.39,44232,6594,125702,4159
152.37,13772,1622,129692,1351
39.16,8469,744,32909,377
91.41,8567,1655,69103,553
54.05,27035,2572,86797,1352
69.96,46821,3217,138985,2654
50.53,19965,2886,72318,999
18.44,11651,1586,35190,1202
8.7,48752,7957,138572,6327
13.88,42484,6927,122187,3856
0.61,31517,4508,85598,1878
22.27,48697,3950,122398,2027
21.1,7997,1464,28159,789
22.35,2569,224,11540,192
109.53,27761,1779,121728,837
72.73,47704,4542,149128,4013
5.29,32497,3980,85502,1453
13.81,39919,3236,98583,2861
16.55,43432,4345,111954,1885
13.41,21927,2785,60235,1115
48.06,9882,972,41282,361
22.27,30498,1933,75916,946
25.47,25788,2052,68261,1374
57.52,25744,4354,95071,3046
49.19,16103,3110,65003,1623
4.25,35413,2559,84059,1122
37.54,40533,6167,123403,5531
17.15,20133,3741,62522,1729
10.47,4007,380,11608,200
1.54,36599,6383,105208,3756
20.04,26868,4990,83171,3711
13.18,15383,1460,40457,571
8.69,7785,455,19126,209
35.59,8373,1570,35212,1410
44.02,44766,4457,126421,3543
8.42,13578,706,31908,399
1.52,30544,3703,79696,1352
56.67,11468,772,48123,633
0.3,10117,1874,29612,1442
82.99,47691,3493,150649,2264
29.64,46489,4447,123279,2413
11.65,30779,5188,89486,4468
8.49,8373,1431,25137,683
0.27,49345,9138,144387,4500
8.05,24670,3074,65853,2537
4.45,46500,9207,139503,6222
28.42,33210,4231,95148,3683
5.47,39808,6711,113809,4610
22.56,32652,3405,87687,1088
26.76,26530,5072,85340,2059
10.62,28675,4380,80979,2054
1.07,49875,3070,115155,2518
1.14,33735,2235,78705,1784
0.8,43536,7994,127077,6188
40.31,33038,5663,107188,3579
11.48,26458,2632,68021,1009
47.73,8869,1137,39912,430
16.95,8359,1487,27643,558
18.1,34383,2252,83875,1830
21.58,29829,2109,75214,811
37.45,8292,1304,34563,1023
9.59,35066,2185,82540,1762
3.89,17385,1788,44093,649
24.36,22387,1964,60606,1652
11.88,47461,7785,135894,6527
17.53,45905,2312,107039,1578
31.23,31447,2116,82201,1286
20.44,40623,2634,99037,1813
29.05,9086,887,30435,481
23.57,2166,183,10968,119
40.39,42879,3612,116651,3184
36.72,30854,3256,89113,1198
22.92,19022,1561,51335,687
34.08,36775,2424,95617,1489
62.04,48468,6663,154683,3032
16.98,43114,8310,131277,7442
15.97,35464,5003,99133,3663
43.35,45526,7445,142547,4172
26.21,29528,5782,94674,4866
2.21,19805,1445,46999,558
66.8,42198,5020,136794,2373
0.94,24204,3322,65063,2901
41.4,30132,2962,88391,1878
42.66,35489,5038,110101,4294
91.8,11020,1582,73927,1408
1.67,42225,7445,121782,3842
27.25,46617,8152,141107,5265
16.75,36709,2620,89945,2117
12.04,14523,1094,36605,507
2.84,37426,3119,90686,1771
24.81,32790,2924,86379,1146
19.56,45636,6145,126323,4249
3.31,25199,2497,63184,755
28.44,37207,7178,117887,4088
40.18,33106,2242,90155,1922
43.74,24910,2166,75112,1815
70.73,22814,4112,95933,3216
15.8,32458,4467,90391,1718
91.77,32133,4245,129450,2598
60.17,7488,1041,43517,761
10.55,26195,2300,65603,829
5.21,10526,1728,30285,670
17.15,7717,960,23784,311
15.42,40950,2309,96472,1140
25.72,40447,3097,102901,2559
26.27,14022,2418,46865,1461
41.59,25611,2606,77661,2115
21.39,39324,6528,116235,2286
3.32,25494,3811,70345,1271
58.62,28243,2689,92371,2103
11.12,2539,175,7807,104
106.52,28063,4799,135092,2795
3.76,10119,1482,28012,867
95.28,22570,2146,102373,1134
2.86,27291,3506,72354,2916
7.88,42933,6087,117407,3728
1.43,48103,2420,108391,2140
36.63,45367,6831,135975,5518
56.97,26449,3925,94024,2914
17.08,8491,529,23155,360
79.15,29758,5004,119745,4008
26.77,8469,1471,31218,1219
29.83,38410,3592,102925,1364
56.01,9222,685,42828,353
10.56,12028,1839,34967,1440
13.12,34904,2391,84139,1034
70.92,42545,7603,152966,4955
69.37,38418,4687,129158,3600
112.5,37131,6923,168539,3007
69.63,47912,7010,159927,3793
4.09,45148,4188,111649,3555
52.07,42975,5165,130562,2652
15.82,39194,5071,106889,3361
140.66,24691,4253,154059,2382
19.18,13991,2508,44720,2072
24.21,43994,6706,127474,3718
22.64,41896,3943,108891,2032
11.65,7821,1011,22684,408
2.34,18641,1297,43945,660
67.8,26252,2218,91507,1556
48.69,49557,4730,139750,1917
4.51,7223,439,17119,317
44.99,5912,1080,32310,330
29.49,36212,2476,92812,1287
15.79,20940,3235,61190,1874
8.79,1308,164,4739,58
58.93,18342,3205,75325,2277
36.14,19187,3092,64696,1118
23.8,2071,339,11644,119
28.22,29895,3370,84133,1754
2.86,33981,5949,97949,4419
19.27,1083,69,6740,60
6.46,30041,3504,78422,2682
7.01,11602,2311,35687,1339
32.48,28677,5512,94169,2555
72.66,43831,2732,132290,1313
15.51,10454,1421,31068,668
6.99,2227,216,6457,100
31.39,20123,3205,65063,1094
61.48,28950,4642,105214,2006
41.39,23960,1198,67223,436
60.92,33428,5912,120191,1799
23.07,6752,564,21865,265
41.81,31079,6056,105957,3096
4.53,42869,7965,126044,6821
12.84,20871,1640,52243,1470
14.81,41350,6014,115618,3895
21.48,45697,4316,117951,3627
79.38,34777,2276,116299,1527
62.21,47967,8686,163900,5198
4.33,40098,3092,96107,1006
5.69,12981,1468,33980,479
13.28,17431,3287,53716,1046
10.31,10819,663,26607,258
28.62,34216,4536,98766,1570
69.92,8672,1177,52463,490
98.34,9996,1643,76964,1004
31.81,33177,5775,104197,3476
54.63,19898,2260,71287,1144
22.35,5889,951,21814,665
7.01,9790,1826,29637,977
22.31,43954,8040,133378,3474
24.3,39436,4940,109559,3533
40.7,46321,6533,138288,5802
7.45,41720,6296,115936,4951
13.78,19931,3445,59644,1889
13.58,26173,3301,71352,1734
96.15,10364,692,71327,223
17.61,16149,1740,44691,1207
42.21,11728,1853,46431,803
41.69,2242,321,19546,227
9.26,14943,2436,43474,1841
25.45,29336,3666,83421,3034
67.42,49043,3735,144437,2349
19.34,42665,2870,103933,2290
87.08,46355,5664,161657,4156
7.24,21223,1716,52000,878
2.31,26107,5151,78144,1874
66.62,14925,1191,62991,530
56.45,10242,1382,48602,1114
147.15,28598,1437,153628,891
34.13,33326,2934,91289,2051
82.79,40448,3594,136531,2816
52.63,27624,4439,96530,3108
55.82,49589,6166,150859,5016
25.26,15398,797,41128,280
14.46,12235,1307,33753,1100
81.8,7480,1097,57434,863
16.98,26689,3883,76289,3268
23.22,32566,1891,80181,1396
17.72,36888,6984,112426,3245
24.96,25020,2177,67159,801
19.07,5743,1055,20926,398
1.47,16829,1380,40647,827
64.12,41384,5594,136412,2990
17.63,6710,744,20841,515
26.67,18622,2554,56900,1537
4.5,20873,2602,55232,976
0.1,11904,598,26799,180
8.44,7916,812,21118,306
36.58,27573,1425,73333,552
3.13,12032,1834,33511,1342
71.87,49510,8813,173549,4152
7.26,17594,1894,45636,674
6.87,23809,3064,63837,2307
6.01,30289,1813,70379,1566
0.42,31005,3341,78728,1203
44.33,6587,466,30259,409
62.39,17304,1033,64414,898
28.57,6088,461,22116,282
6.26,27464,4960,80510,2368
10.08,38503,7597,116590,2908
19.38,21148,3846,65793,3054
92.6,7193,1405,65964,931
8.52,37472,5981,106093,4131
39.46,18047,1334,55159,1089
17.37,30835,4146,86018,2348
10.61,29296,4679,83714,2437
18.26,22827,2899,64050,2195
2.22,42267,5629,112843,2692
48.09,24984,3446,83870,1711
8.36,34707,4165,91448,2201
38.77,7775,727,31257,591
2.12,44412,6464,121298,4960
93.1,40869,2371,138507,1125
6.43,9675,731,23820,282
64.3,35174,6640,129329,3556
49.74,47098,5808,140775,3918
103.13,25856,4479,126472,3161
19.5,10764,1711,34387,719
38.99,15214,1492,50062,670
13.89,21624,3687,64272,3163
6.11,11259,717,26858,380
17.56,13399,2428,42617,1186
5.44,28132,4278,78287,3069
120.6,41497,7845,188435,4555
3.04,555,102,1884,45
26.69,42629,4562,114962,2488
29.54,42678,7619,131479,2944
23.17,44672,6006,124950,2809
32.56,34380,2529,90693,1393
3.71,4838,843,14247,514
24.29,32366,6026,100848,4489
10.16,16875,1057,40653,561
84.49,35489,6728,143449,4221
43.07,15818,2217,56855,1930
107.82,6276,338,70222,267
1.15,48363,6348,128527,2807
10.07,9212,1561,27826,668
6.52,22203,2885,59664,2012
0.34,38909,6073,108192,3991
8.33,27133,4936,80147,3100
34.07,20084,3624,68230,1422
7.88,31842,2446,77020,1265
21.34,38078,4343,102799,3281
65.63,4608,307,37334,225
35.5,39310,5474,116566,2184
15.06,6316,1220,21653,678
13.98,24369,1883,60766,1065
18.25,360,39,4813,23
5.85,6933,1338,21262,771
30.15,9627,1564,35353,940
13.58,46114,2797,108716,2203
57.39,6044,690,37276,368
42.39,22618,4482,81443,2829
28.29,23359,2756,68020,1830
13.59,29960,4326,84053,3743
7.07,31659,4911,88812,3402
44.9,33202,4966,106278,1879
19.99,7769,992,24966,644
7.64,35647,2492,84809,1737
6.51,25479,3981,71694,1216
5.42,23812,4524,70875,1561
45.04,19291,3689,72140,1148
7.8,13359,1857,37092,610
22.44,38058,4712,104989,1667
18.02,25616,2564,67876,2242
26.0,36031,2361,90494,1001
62.9,9194,1677,51718,708
60.69,11724,827,51223,673
17.99,23972,2233,62925,1678
0.46,32891,5297,92282,3736
16.68,4752,739,16604,408
27.96,35616,5419,105717,1727
24.48,26072,4204,79219,3346
31.61,8195,1075,30650,877
5.02,3457,253,8741,149
31.2,12196,2436,45285,1673
6.05,8195,1506,24664,883
41.65,10780,1236,41180,590
12.42,40951,5305,110616,3311
37.13,28342,3090,83444,2203
1.47,26433,3851,72210,1512
15.72,13269,2118,40244,1309
36.63,24639,2087,70796,1597
7.72,39937,4589,103891,2686
47.58,21822,3186,75986,1255
29.89,19016,3769,65048,3097
26.57,38205,3772,102117,2656
13.09,3873,626,13243,425
19.76,48294,4926,125609,3403
27.29,30045,1918,76808,857
19.19,21145,3499,63986,2083
35.95,2157,317,16676,157
17.06,17161,2182,48754,1745
6.78,13238,2002,37368,1307
7.22,35842,6519,105249,4761
0.17,24960,4080,70323,2840
10.74,16003,2859,48061,1687
41.46,29142,2724,85251,2132
47.42,39312,6685,128376,4473
6.79,18324,1905,47057,830
95.86,1978,105,51406,49
20.94,39157,2211,94159,1760
74.66,9902,1579,59954,1365
36.8,28638,2599,81434,1634
38.45,48863,4697,133132,2495
2.67,23703,3398,64613,2293
7.45,48631,7840,137479,4626
0.27,15137,2025,40405,1630
37.78,11790,1838,44379,1470
12.67,10423,1992,33060,1142
46.34,3414,608,25643,475
12.42,46285,3986,114687,1657
51.33,34246,6370,118731,3340
4.2,14456,1367,36177,475
5.71,11369,1694,31890,1329
12.51,44074,7986,130289,7068
15.75,5440,780,17905,503
12.86,44952,7683,130625,5838
43.27,42775,8088,140222,4375
3.06,33320,6498,99397,4138
12.98,41401,4620,108240,2348
54.46,492,97,21566,69
2.07,5571,505,13816,226
85.6,8237,982,60980,384
128.75,14097,2313,112802,1940
2.78,19534,3819,58395,3126
10.33,42030,2435,97894,1950
13.98,30378,5827,92503,4620
44.94,10497,2097,46540,1546
27.18,31630,5896,99826,4863
31.02,48464,3211,121619,1368
42.5,4894,861,27948,707
3.77,23894,3487,65588,2966
53.73,16649,856,57270,624
36.69,41314,8165,134563,5385
25.84,41361,3001,104293,1325
66.15,6463,707,43359,579
36.15,44163,2408,111233,1555
6.76,8179,788,21176,525
16.85,12132,1640,35922,1088
20.44,43616,8270,133202,6781
1.7,1605,318,4911,121
92.79,9548,1083,69203,364
4.13,13340,1523,34714,661
35.87,40277,2982,106203,1774
21.17,30839,3847,85783,2237
0.78,33077,6318,97778,3836
77.61,20277,1516,82317,558
57.28,19531,1757,69524,1362
22.29,2219,407,11733,195
7.8,277,39,1838,33
3.89,34414,3426,86341,2754
13.55,47054,8089,137046,2734
8.85,10326,685,25393,227
21.2,24974,4464,77148,3023
101.81,31085,3969,133374,1374
25.67,27243,4455,83262,2865
66.2,12331,1575,59467,547
31.57,49526,4305,129446,2529
19.34,14116,2062,42796,1137
57.85,14234,1042,55677,682
19.12,14182,1198,38535,615
60.89,49304,6527,155000,2506
10.34,7875,854,21682,687
4.14,16275,2632,46130,1262
58.0,14233,1957,60334,666
26.56,42483,4554,114579,2734
65.97,49236,4874,149634,4028
83.34,22527,4212,104151,1973
1.65,14937,836,34160,476
20.85,10646,1635,34228,885
14.1,25092,2729,66475,897
29.49,10848,1156,35484,949
47.34,25596,3782,86386,2856
9.88,1653,293,6323,104
24.41,25341,4020,76812,1524
37.0,2569,386,18323,118
4.33,49167,6117,129369,5452
50.47,1574,189,22021,103
27.95,48654,5795,133671,4973
89.6,31209,2241,116026,1237
12.44,22961,3075,63491,1114
3.43,46627,4537,116257,2295
21.19,33205,4739,94981,2610
2.69,39859,5187,105873,2105
104.73,44219,8445,184249,2804
1.18,33955,3912,87534,1916
42.01,34161,5112,107497,3187
22.34,41716,5795,117686,2626
13.8,30172,4606,85935,4031
2.04,6064,546,15004,321
29.2,35696,3162,95091,1195
26.4,6572,880,24326,482
9.89,20457,3628,60609,2628
72.31,23145,3656,95316,2165
10.88,6664,821,19226,409
17.92,1436,126,7294,45
23.54,43416,7115,128118,4096
3.17,48017,9072,141676,3251
80.72,15281,1252,73082,654
14.08,34535,5866,101041,2168
2.53,28706,2177,68497,1536
14.7,1312,242,6650,184
27.5,2868,419,15043,186
21.62,29837,2301,76207,793
35.58,45475,2521,114165,1281
1.71,27734,4276,76960,2720
10.04,49696,7002,135993,5326
51.32,9689,1372,44618,743
2.5,26894,3290,70435,1709
58.03,36544,5195,121166,4389
2.89,18794,3401,54838,1937
53.96,7185,1385,41111,787
13.43,18311,1861,48386,1016
28.42,22769,2804,67132,1452
4.98,19703,1792,48921,1320
2.05,23255,2598,59647,1218
7.3,37556,6361,107902,3353
4.1,4611,524,12257,245
11.24,18556,2017,49080,1295
21.67,23254,4127,72186,3616
26.66,28865,1448,71851,773
46.8,47508,8448,153264,7442
32.03,18814,1452,53953,1007
28.15,46334,4224,121256,3283
15.92,33553,3497,87766,1747
19.26,33552,6109,101876,2655
16.06,47869,8918,143545,5761
55.39,27613,4119,96430,3684
7.84,31635,3667,82702,2662
0.17,28387,3617,74862,2564
31.61,8632,1183,32064,674
6.79,12991,2508,39406,2075
66.25,33601,6564,126983,4714
58.78,1596,282,27134,198
2.39,15254,2098,41183,997
3.37,11246,1221,28906,1067
20.51,5550,469,18087,211
28.19,37503,4881,106894,2997
9.64,18216,1855,47204,934
37.85,44095,2685,113257,1096
27.11,46891,5694,129309,2200
11.78,27389,3715,75375,1767
0.77,23209,3288,62891,2345
41.61,39171,2392,103720,2116
7.25,43539,5332,114714,4329
53.96,24515,3637,87033,1566
16.36,17903,3476,56493,1206
25.82,10281,552,29880,393
61.89,32816,4969,114824,1580
59.77,4810,285,34149,232
13.93,41547,3067,101029,2439
7.03,28495,2165,68746,1680
44.77,13600,1350,48927,852
17.03,34309,5993,102095,5298
6.4,35258,6291,102780,3617
70.44,1484,157,33309,140
6.62,18640,2137,48817,1771
0.78,46004,3797,111027,1427
0.61,4496,516,11596,431
29.21,1491,136,11555,65
32.51,16752,1277,49158,971
11.18,20401,1504,50190,451
11.57,9816,1632,29759,759
12.44,15668,1058,38820,798
34.2,8769,1248,33777,1102
1.8,4371,328,10502,132
79.4,49490,8694,177826,5004
7.55,15328,1397,38678,911
240.79,14356,814,219598,709
5.64,25285,2978,66130,1703
44.29,23486,4696,85190,4039
7.59,24252,4170,70398,3698
2.53,22367,3031,60090,2621
62.37,12879,1009,55429,755
58.72,14534,982,56474,368
15.5,29100,5115,86827,3383
36.36,28073,4720,90708,3549
24.43,45600,5441,124442,4749
57.51,37961,4297,119213,3294
11.35,6538,1061,20293,661
22.25,12829,1672,39265,707
19.93,29566,3270,79930,1877
13.1,26507,2326,67015,1588
66.62,29662,2028,96650,1003
5.44,22658,3154,61720,1809
4.86,25830,4492,74655,1394
25.81,42811,6932,126836,5735
32.14,27161,4194,84404,1345
6.49,21929,4151,65440,2264
14.86,35201,3843,92482,2331
87.88,37254,2629,128842,2322
8.5,12755,832,30908,716
33.11,21065,4070,72006,2799
40.43,16416,2271,57040,1477
17.83,8459,1451,27938,754
83.19,14272,1860,75782,603
40.03,3642,399,21941,183
18.37,15629,1250,41444,1010
25.27,8154,1455,29935,1002
35.39,39782,2368,101930,1867
26.91,40381,7471,125096,5993
63.28,8369,675,45284,227
13.24,11190,575,27664,288
10.7,1208,79,4559,55
7.22,21240,3876,62829,3146
1.16,1324,80,3110,62
1.32,12976,1340,32727,741
61.22,15197,1330,60993,1142
34.03,8856,491,30093,235
32.41,2959,383,17059,201
28.61,24977,4989,82549,2039
56.76,14728,2620,63936,1142
19.63,12681,955,34486,291
61.3,8400,1534,48468,744
13.36,2512,295,8941,142
78.4,35515,3231,121893,1099
35.99,27401,4001,85600,2017
8.92,13905,1147,34876,551
24.91,3438,625,16216,487
22.84,5904,847,21502,333
4.45,29409,2070,69637,1521
26.84,20297,2752,61306,1040
11.34,12492,1580,34793,944
1.61,10548,1273,27563,944
89.08,20129,2108,92833,1399
30.77,27197,3294,79399,2264
62.85,36285,5003,122496,2120
33.82,16495,2639,56017,2101
13.25,23093,4334,70266,3776
21.57,19629,1112,49825,436
33.79,17358,2350,56285,1957
96.76,27109,4413,123869,2376
8.78,7403,498,18596,358
62.38,4750,886,38562,535
77.34,12277,1065,63887,826
33.3,13847,2423,49416,792
80.33,31882,4760,123559,2352
15.22,23281,3118,65120,1024
91.74,21923,3954,107549,3420
36.4,14282,2790,53493,1121
1.29,39876,7958,119615,4414
71.21,13376,2039,66994,1396
19.88,9871,995,29147,574
18.5,12063,2185,39030,1358
25.07,25028,3707,74868,1565
4.85,41030,4041,102799,1374
19.0,14949,2838,48228,1289
53.36,26182,4245,93077,2081
0.47,3587,422,9300,231
9.56,26705,3155,70663,1506
0.07,10138,2021,30382,649
16.12,40405,4285,105471,1528
39.09,2490,159,17996,111
48.1,36898,4825,114600,1630
87.12,40360,7374,158245,2416
28.13,3538,487,16972,383
8.82,35251,5956,101590,1934
77.37,36235,2109,117041,719
44.79,6267,946,32252,595
25.63,13272,821,37136,464
35.69,34333,4581,102230,4025
77.44,36351,4531,129427,3906
37.38,17057,3272,61903,2277
13.78,30460,2128,74118,730
37.45,874,44,13427,26
1.23,23514,1660,55396,542
14.65,20822,1574,52318,1329
15.64,47545,4166,119013,2899
5.48,24505,4221,70755,2719
0.7,36798,3920,93225,2182
4.29,27356,4817,79242,2918
31.89,21444,1946,61623,1051
48.63,35088,6283,118546,2260
133.2,34307,1756,154257,1223
12.76,40292,7662,121171,6879
27.44,9005,1457,32482,535
83.01,39568,4428,139089,3969
5.48,25251,3449,68388,2896
37.94,22823,4335,79004,3626
42.19,38378,5272,116819,4211
2.8,11273,950,27529,811
59.25,49321,6704,154966,3002
50.32,44824,8100,147993,4554
1.02,13230,2621,39616,1540
2.87,47450,6529,127787,2225
1.51,27052,1984,64116,1762
12.23,11037,1829,33356,1305
21.36,41802,8341,130243,4762
22.8,39596,4792,108595,4290
9.35,20634,2219,53791,1028
72.78,23894,3174,94699,1594
13.78,25085,1874,62097,776
1.4,19491,3814,58134,1571
10.71,27628,4855,81283,2005
22.72,6970,466,21685,310
15.74,21618,4145,67082,1975
9.6,37110,7103,111222,6186
4.22,22093,2153,55384,1700
51.31,42739,6106,134382,2422
166.75,29820,1986,177236,1589
11.99,24262,1519,58195,770
14.42,10006,1253,29014,547
28.87,17681,1015,48194,780
38.02,31389,5688,102940,4631
14.93,16305,3085,50919,2703
70.59,40954,2461,123869,1358
24.63,11508,657,32412,418
17.96,27632,2299,70563,1537
31.21,3293,624,18424,422
91.6,41086,6793,159973,3677
47.48,5320,805,31021,315
1.23,19457,3238,55171,1108
12.12,39399,3148,96647,2655
19.08,19649,1738,52154,903
11.33,17574,1716,45634,700
36.14,241,33,11509,29
52.51,16750,2365,64348,1848
39.43,40587,3299,110048,2931
136.22,20794,2401,133085,1121
9.55,41548,6377,116455,3685
62.38,41555,4007,127779,3146
43.65,16963,1040,53546,656
13.49,2790,222,9167,113
39.74,48717,3639,128155,1437
3.3,45156,6538,123301,4165
46.72,21420,1291,65264,850
22.8,2527,461,12802,337
10.37,25519,1598,60698,1237
31.99,40932,5717,119497,2120
30.78,36083,6835,114881,4625
7.05,22465,1333,52531,1024
0.93,4011,431,10221,229
17.05,20561,2039,54838,948
25.29,749,76,8235,44
62.77,26569,3720,96604,1808
79.02,27926,2494,103445,1511
22.57,15603,844,40788,409
42.05,43446,8443,142740,4674
17.36,22062,3581,65644,3040
41.12,40984,2879,109548,2447
6.87,34222,4047,89580,3623
13.91,17777,1056,43428,624
30.17,19742,1069,53115,428
0.55,2813,160,6446,133
38.45,8695,1420,36412,934
54.15,13879,1620,55782,1212
15.28,12264,2166,38345,861
17.82,1646,157,7839,77
57.17,35474,5899,122057,2743
44.84,26528,1636,76247,1040
10.2,37074,5385,102700,4837
11.75,31807,3310,82176,2209
34.08,25488,2332,72582,1501
24.85,36242,6243,109892,4716
5.31,25605,1479,59216,735
11.13,13273,2554,41172,1154
69.07,29680,4981,112968,3998
34.96,28751,2971,82692,2603
128.01,23418,4653,142513,2572
43.7,14727,1183,49814,384
85.41,6178,681,55225,277
7.31,36191,6613,106434,5384
44.28,8466,1689,40111,629
0.61,14544,1248,35351,945
33.33,39973,6454,121836,4338
19.01,17847,1710,48386,1258
12.77,27571,4548,80164,2064
59.5,9329,641,44812,199
57.78,47896,4809,141796,1557
0.68,40357,2471,93096,1815
28.21,16404,2030,50449,1356
13.76,24435,3792,70381,3049
16.12,2190,233,8780,125
53.52,48329,6872,150595,4352
11.12,32468,4394,88761,3383
85.97,11044,1040,67141,621
5.94,31852,3918,84017,3510
32.61,33016,1992,85301,1485
33.45,20917,2488,63947,1766
8.72,5198,617,14768,481
11.78,47427,2575,109750,1973
54.02,1233,156,23096,67
43.04,49605,7969,153173,3396
11.97,42167,4968,111245,3296
22.9,28770,4226,84150,2373
1.91,47824,6210,126829,5110
7.02,36074,6052,103338,2869
19.96,1209,153,7640,76
2.7,28855,2878,72321,1150
55.61,43037,7494,144278,6662
37.98,24902,1497,68990,553
86.28,43999,4110,148617,3656
35.47,42072,5836,123887,4224
84.6,3206,571,48176,201
24.26,36804,2238,90771,875
27.51,43862,2825,109061,1401
113.13,9758,901,84185,411
30.83,16440,1671,49793,1476
0.94,44048,7775,127016,5193
38.6,8561,1659,37407,571
70.76,23033,1211,81885,745
47.63,42591,2227,112751,1866
26.3,8595,1544,31653,848
33.38,32391,2278,85814,1593
138.74,48212,4864,202450,3715
2.85,13197,1204,32654,494
33.01,21632,1996,62727,1623
